like1,parPointMutations,parmutation,parpopsize,pargenerations,simulation_0,chain
-126.25,82.1,0.3123,48.9,19.39,73.75,1.0
-121.0,200.2,0.2598,37.22,40.94,79.0,1.0
-109.1,121.6,0.3394,33.56,25.66,90.9,1.0
-124.1,68.0,0.4158,16.81,47.38,75.9,1.0
-127.6,98.9,0.1431,31.1,20.33,72.4,1.0
-118.4,55.16,0.528,29.67,22.45,81.6,1.0
-117.56,216.5,0.821,46.25,37.22,82.44,1.0
-109.7,235.6,0.59,22.45,34.12,90.3,1.0
-138.5,35.25,0.3923,26.6,23.53,61.5,1.0
-117.6,104.8,0.7373,34.12,27.95,82.4,1.0
-121.75,116.5,0.773,20.33,48.9,78.25,1.0
-125.75,61.62,0.9717,23.53,14.48,74.25,1.0
-143.4,192.4,0.1136,11.734,37.16,56.6,1.0
-121.0,138.5,0.04523,10.84,33.56,79.0,1.0
-138.2,163.0,0.9336,25.66,16.81,61.75,1.0
-145.2,180.0,0.8467,39.5,26.6,54.75,1.0
-128.0,40.1,0.4924,14.48,11.734,71.94,1.0
-112.5,146.2,0.679,37.16,46.25,87.5,1.0
-130.6,229.5,0.2362,15.66,39.5,69.3,1.0
-112.7,244.0,0.02315,42.84,29.67,87.3,1.0
-159.4,210.8,0.906,19.39,31.1,40.6,1.0
-128.4,159.9,0.6807,47.38,42.84,71.56,1.0
-113.06,179.6,0.4497,27.95,10.84,86.94,1.0
-112.9,129.1,0.1719,40.94,15.66,87.1,1.0
